neighborhood,id,lat,lng
"Allerton, Bronx",2,40.8631189,-73.8616476
"Annadale, Staten Island",5,40.5445496,-74.1765324
"Arden Heights, Staten Island",10,40.556413,-74.1735044
"Arlington, Staten Island",15,40.7763877,-73.0485198
"Arrochar, Staten Island",20,40.7763877,-73.0485198
"Arverne, Queens",4,40.592658,-73.7977928
"Astoria Heights, Queens",14,40.7687747,-73.8915777
"Astoria, Queens",9,40.7644,-73.9235
"Auburndale, Queens",19,40.7578,-73.7834
"Bath Beach, Brooklyn",1,40.6038852,-74.0062078
"Bathgate, Bronx",7,40.846,-73.892
"Battery Park City, Manhattan",3,40.7032775,-74.0170279
"Bay Ridge, Brooklyn",6,40.6263732,-74.0298767
"Bay Terrace, Queens",24,40.781354,-73.771498
"Bay Terrace, Staten Island",25,40.5559913,-74.1328046
"Baychester, Bronx",12,40.8693862,-73.83308439999999
"Bayside, Queens",29,40.7585569,-73.7654367
"Bayswater, Queens",34,40.6068,-73.7669
"Bedford Park, Bronx",17,40.8701,-73.8857
"Bedford Stuyvesant, Brooklyn",11,40.6872176,-73.9417735
"Beechhurst, Queens",39,40.7903214,-73.8001946
"Beekman Place, Manhattan",8,40.7533089,-73.9647957
"Bellaire, Queens",44,40.714,-73.754
"Belle Harbor, Queens",49,40.5754846,-73.8507279
"Bellerose, Queens",54,40.7361769,-73.7137365
"Belmont, Bronx",22,40.8534507,-73.88936819999999
"Bensonhurst, Brooklyn",16,40.6139307,-73.9921833
"Bergen Beach, Brooklyn",21,40.6200838,-73.90743309999999
"Blissville, Queens",59,40.7347222,-73.93777779999999
"Bloomfield, Staten Island",30,40.6126039,-74.17819949999999
"Boerum Hill, Brooklyn",26,40.6848689,-73.9844722
"Borough Park, Brooklyn",31,40.6350319,-73.9921028
"Breezy Point, Queens",64,40.5608702,-73.9155359
"Briarwood, Queens",69,40.7109315,-73.81356099999999
"Brighton Beach, Brooklyn",36,40.5780706,-73.9596565
"Broad Channel, Queens",74,40.6158335,-73.8213213
"Broadway Junction, Brooklyn",41,40.6789137,-73.9039
"Bronx Park South, Bronx",32,40.8723263,-73.87125379999999
"Bronx River, Bronx",37,40.9356134,-73.8346401
"Bronxdale, Bronx",27,40.8603726,-73.8602604
"Brooklyn Heights, Brooklyn",46,40.6959294,-73.9955523
"Brookville, Queens",79,40.6585,-73.7548
"Brownsville, Brooklyn",51,40.6652,-73.9125
"Bulls Head, Staten Island",35,40.6072329,-74.162443
"Bushwick, Brooklyn",56,40.6957755,-73.9170604
"Butler Manor, Staten Island",40,40.50496529999999,-74.2298318
"Cambria Heights, Queens",84,40.692158,-73.7330753
"Canarsie, Brooklyn",61,40.6402325,-73.9060579
"Carnegie Hill, Manhattan",13,40.7844653,-73.9550857
"Carroll Gardens, Brooklyn",66,40.6795331,-73.9991637
"Castle Hill, Bronx",42,40.8176831,-73.8507279
"Castleton Corners, Staten Island",45,40.6130802,-74.1225608
"Charleston, Staten Island",50,40.7763877,-73.0485198
"Chelsea, Manhattan",18,40.7465004,-74.00137370000002
"Chelsea, Staten Island",55,40.5795317,-74.1502007
"Chinatown, Manhattan",23,40.7158,-73.997
"City Island, Bronx",47,40.8468202,-73.7874983
"City Line, Brooklyn",71,40.6762144,-73.88708059999999
"Civic Center, Manhattan",28,40.7140519,-74.00283639999999
"Claremont Village, Bronx",52,40.8348,-73.9059
"Clason Point, Bronx",57,40.8144344,-73.8624893
"Clearview, Queens",89,40.7805,-73.7978
"Clifton, Staten Island",60,40.6189726,-74.0784785
"Clinton Hill, Brooklyn",76,40.6896834,-73.9661144
"Clinton, Manhattan",33,40.7637581,-73.9918181
"Co-op City, Bronx",72,40.8738889,-73.82944440000001
"Cobble Hill, Brooklyn",81,40.686536,-73.9962255
"College Point, Queens",94,40.786395,-73.8389657
"Concord, Staten Island",65,40.6082,-74.0843
"Concourse Village, Bronx",67,40.8255863,-73.9184388
"Concourse, Bronx",62,40.8316761,-73.9227554
"Coney Island, Brooklyn",86,40.5755438,-73.9707016
"Country Club, Bronx",77,40.8391667,-73.8197222
"Crown Heights, Brooklyn",91,40.6694022,-73.9422324
"Cypress Hills, Brooklyn",96,40.6836873,-73.87963309999999
"DUMBO, Brooklyn",111,40.7033164,-73.9881451
"Ditmas Park, Brooklyn",101,40.6414876,-73.9593998
"Dongan Hills, Staten Island",70,40.5906641,-74.088452
"Douglaston, Queens",99,40.76401509999999,-73.7433727
"Downtown, Brooklyn",106,40.6960679,-73.9845407
"Dutch Kills, Queens",104,40.7575331,-73.939115
"Dyker Heights, Brooklyn",116,40.6214932,-74.00958399999999
"East Elmhurst, Queens",109,40.7737505,-73.8713099
"East Flatbush, Brooklyn",121,40.6481656,-73.9299899
"East Harlem, Manhattan",38,40.7957399,-73.93892129999999
"East New York, Brooklyn",126,40.6590529,-73.8759245
"East Tremont, Bronx",82,40.8477113,-73.90096729999999
"East Village, Manhattan",43,40.7264773,-73.98153370000001
"East Williamsburg, Brooklyn",131,40.7141953,-73.9316461
"Eastchester, Bronx",87,40.95956049999999,-73.8095574
"Edenwald, Bronx",92,40.8863969,-73.84119869999999
"Edgemere, Queens",114,40.5942,-73.7743
"Edgewater Park, Bronx",97,40.8236,-73.8103
"Egbertville, Staten Island",75,40.578566,-74.1243132
"Elm Park, Staten Island",80,40.6311567,-74.1386767
"Elmhurst, Queens",119,40.738,-73.8801
"Eltingville, Staten Island",85,40.5394463,-74.156292
"Emerson Hill, Staten Island",90,40.6074525,-74.0963115
"Far Rockaway, Queens",124,40.5998931,-73.74484369999999
"Fieldston, Bronx",102,40.8964814,-73.9023362
"Financial District, Manhattan",48,40.7077143,-74.00827869999999
"Flatbush, Brooklyn",141,40.6414876,-73.9593998
"Flatiron, Manhattan",53,40.740083,-73.9903489
"Flatlands, Brooklyn",146,40.6232714,-73.9321664
"Floral Park, Queens",129,40.7237133,-73.7048532
"Flushing (Downtown), Queens",139,40.7628349,-73.8318032
"Flushing, Queens",134,40.7674987,-73.833079
"Fordham, Bronx",107,40.8592667,-73.8984694
"Forest Hills Gardens, Queens",149,40.7147222,-73.8402778
"Forest Hills, Queens",144,40.718106,-73.8448469
"Fort Greene, Brooklyn",151,40.6920638,-73.97418739999999
"Fort Hamilton, Brooklyn",156,40.6094454,-74.02854339999999
"Fox Hills, Staten Island",95,40.6151042,-74.0845858
"Fresh Meadows, Queens",154,40.7335179,-73.7801447
"Fulton Ferry, Brooklyn",161,40.7035805,-73.9921853
"Georgetown, Brooklyn",166,40.6258,-73.9132
"Gerritsen Beach, Brooklyn",171,40.5870033,-73.9227554
"Glen Oaks, Queens",159,40.7472,-73.7118
"Glendale, Queens",164,40.7017,-73.8842
"Gowanus, Brooklyn",176,40.6751161,-73.9879753
"Gramercy, Manhattan",58,40.7367783,-73.9844722
"Graniteville, Staten Island",100,40.7763877,-73.0485198
"Grant City, Staten Island",105,40.5820492,-74.1048641
"Grasmere, Staten Island",110,40.6041583,-74.0837638
"Gravesend, Brooklyn",181,40.5918636,-73.9768653
"Great Kills, Staten Island",115,40.5543273,-74.156292
"Greenpoint, Brooklyn",186,40.7304701,-73.95150319999999
"Greenridge, Staten Island",120,40.7763877,-73.0485198
"Greenwich Village, Manhattan",63,40.7335719,-74.0027418
"Grymes Hill, Staten Island",125,40.6187151,-74.09347509999999
"Hamilton Heights, Manhattan",68,40.8252793,-73.94761390000001
"Hammels, Queens",169,40.5879465,-73.80808689999999
"Harlem (Central), Manhattan",73,40.8115504,-73.9464769
"Heartland Village, Staten Island",130,40.5908869,-74.1585424
"Herald Square, Manhattan",78,40.750247,-73.98770999999999
"High Bridge, Bronx",112,40.836916,-73.9271294
"Highland Park, Brooklyn",191,40.6887,-73.8863
"Hillcrest, Queens",174,40.7335,-73.7801
"Hollis, Queens",179,40.7112203,-73.762495
"Holliswood, Queens",184,40.7216667,-73.7682897
"Homecrest, Brooklyn",196,40.6004787,-73.9565551
"Howard Beach, Queens",189,40.6571222,-73.8429989
"Howland Hook, Staten Island",135,40.7763877,-73.0485198
"Hudson Square, Manhattan",83,40.7265834,-74.0074731
"Huguenot, Staten Island",140,40.5795317,-74.1502007
"Hunters Point, Queens",194,40.7486,-73.9496
"Hunts Point, Bronx",117,40.8094385,-73.8803315
"Inwood, Manhattan",88,40.8677145,-73.9212019
"Jackson Heights, Queens",199,40.7556818,-73.8830701
"Jamaica Center, Queens",209,40.7021447,-73.8008771
"Jamaica Estates, Queens",214,40.7290328,-73.78125539999999
"Jamaica Hills, Queens",219,40.7135548,-73.796488
"Jamaica, Queens",204,40.702677,-73.7889689
"Kensington, Brooklyn",201,40.6385,-73.9732
"Kew Gardens Hills, Queens",228,40.73844709999999,-73.8104048
"Kew Gardens, Queens",224,40.705695,-73.8272029
"Kings Highway, Brooklyn",206,40.6202587,-73.9417836
"Kingsbridge Heights, Bronx",127,40.8711235,-73.8976328
"Kingsbridge, Bronx",122,40.8833912,-73.9051185
"Laurelton, Queens",232,40.67764,-73.7447853
"Lefrak City, Queens",236,40.7362133,-73.8626355
"Lenox Hill, Manhattan",93,40.7662315,-73.9602312
"Lighthouse Hill, Staten Island",145,40.5772702,-74.1342726
"Lincoln Square, Manhattan",98,40.7724641,-73.9834889
"Lindenwood, Queens",240,40.6646,-73.8499
"Little Italy, Manhattan",103,40.7191413,-73.9973273
"Little Neck, Queens",244,40.7612957,-73.7330753
"Livingston, Staten Island",150,40.602095,-74.1285322
"Long Island City, Queens",248,40.744679,-73.9485424
"Longwood, Bronx",132,40.8248438,-73.8915875
"Lower East Side, Manhattan",108,40.715033,-73.9842724
"Malba, Queens",252,40.7906659,-73.8257325
"Manhattan Beach, Brooklyn",211,40.5782,-73.9389
"Manhattan Terrace, Brooklyn",216,40.7830603,-73.9712488
"Manhattan Valley, Manhattan",113,40.7966989,-73.9684247
"Manhattanville, Manhattan",118,40.8169,-73.9558
"Manor Heights, Staten Island",155,40.60426349999999,-74.12662430000002
"Mapleton, Brooklyn",221,40.6186,-73.9801
"Marble Hill, Bronx",137,40.8771416,-73.91268389999999
"Marine Park, Brooklyn",226,40.6113817,-73.93318649999999
"Mariner's Harbor, Staten Island",160,40.63677010000001,-74.1587547
"Maspeth, Queens",256,40.7294018,-73.9065883
"Melrose, Bronx",142,40.824545,-73.9104143
"Middle Village, Queens",260,40.712924,-73.900193
"Midland Beach, Staten Island",165,40.7763877,-73.0485198
"Midtown South, Manhattan",123,40.7549309,-73.9840195
"Midtown, Manhattan",128,40.7549,-73.984
"Midwood, Brooklyn",230,40.6204388,-73.95997779999999
"Mill Basin, Brooklyn",234,40.6096768,-73.9114293
"Mill Island, Brooklyn",238,40.6096768,-73.9114293
"Morningside Heights, Manhattan",133,40.8105443,-73.9620581
"Morris Heights, Bronx",147,40.8505298,-73.91554289999999
"Morris Park, Bronx",152,40.850332,-73.8513735
"Morrisania, Bronx",157,40.8310814,-73.9058574
"Mott Haven, Bronx",162,40.8091068,-73.9228881
"Mount Eden, Bronx",167,40.8407,-73.9169
"Mount Hope, Bronx",172,40.8489,-73.9051
"Murray Hill, Manhattan",138,40.7478792,-73.9756567
