water street & old slip, new york, ny
water street & old slip,queens, ny
318 east 6th street, newrk, ny
318 east 6th street,queens, ny
6th avenue & west 55th street, new york, ny
6th avenue & west 55th street,queens, ny
beach street & greenwich street, new york, ny
beach street & greenwich street,queens, ny
6th avenue & west 53rd street, new york, ny
6th avenue & west 53rd street,queens, ny
wall street, new york, ny
wall street,queens, ny
west 49th street and 6th avenue, new york, ny
west 49th street and 6th avenue,queens, ny
28th avenue and madison, new york, ny
28th avenue and madison,queens, ny
park place & greenwich street, new york, ny
park place & greenwich street,queens, ny
85 west 46th street, new york, ny
85 west 46th street,queens, ny
6th avenue & west 48th street, new york, ny
6th avenue & west 48th street,queens, ny
52th street at 6th avenue, new york, ny
52th street at 6th avenue,queens, ny
52nd street & 6th avenue, new york, ny
52nd street & 6th avenue,queens, ny
47th street at 6th avenue, new york, ny
47th street at 6th avenue,queens, ny
46th street and 3rd avenue, new york, ny
46th street and 3rd avenue,queens, ny
3rd avenue & e 48th street, new york, ny
3rd avenue & e 48th street,queens, ny
whitehall street & stone street, new york, ny
whitehall street & stone street,queens, ny
york avenue & east 69th street, new york, ny
york avenue & east 69th street,queens, ny
west 115th st & broadway, new york, ny
west 115th st & broadway,queens, ny
avenue of the americas & west 47th street, new york, ny
avenue of the americas & west 47th street,queens, ny
5th avenue & east 34th street, new york, ny
5th avenue & east 34th street,queens, ny
east 33rd street & 1st avenue, new york, ny
east 33rd street & 1st avenue,queens, ny
6th avenue & west 45th street, new york, ny
6th avenue & west 45th street,queens, ny
west 33rd street & 7th avenue, new york, ny
west 33rd street & 7th avenue,queens, ny
east 14th street & 2nd avenue, new york, ny
east 14th street & 2nd avenue,queens, ny
64 west 34th street, new york, ny
64 west 34th street,queens, ny
33 washington square west, new york, ny
33 washington square west,queens, ny
325 park avenue south, new york, ny
768 broadway, new york, ny
768 broadway,queens, ny
6th avenue & west 46th street, new york, ny
6th avenue & west 46th street,queens, ny
west 4th street & 6th avenue, new york, ny
west 4th street & 6th avenue,queens, ny
116th street and broadway, new york, ny
116th street and broadway,queens, ny
water street at pearl street, new york, ny
water street at pearl street,queens, ny
haven avenue at fort washington avenue, new york, ny
haven avenue at fort washington avenue,queens, ny
west 4th & broadway, new york, ny
west 4th & broadway,queens, ny
varick street & canal street, new york, ny
varick street & canal street,queens, ny
6th avenue & west 50th street, new york, ny
6th avenue & west 50th street,queens, ny
broadway & west 37th street, new york, ny
broadway & west 37th street,queens, ny
6th avenue & west 53rd street, new york, ny
6th avenue & west 53rd street,queens, ny
7th avenue & west 53rd street, new york, ny
7th avenue & west 53rd street,queens, ny
west 48th street & broadway, new york, ny
west 48th street & broadway,queens, ny
1947 bath avenue, new york, ny
1947 bath avenue,queens, ny
3149 coney island avenue, new york, ny
3149 coney island avenue,queens, ny
176 atlantic avenue, new york, ny
176 atlantic avenue,queens, ny
266 prospect park west, brooklyn, ny
266 prospect park west,queens, ny
