,name,platform_id,url,total_review_count,address,id,image_url,lat,lng,zabiha_name,zabiha_lat,zabiha_lng,zabiha_distance,zabiha_similarity,mfoodies_name,mfoodies_lat,mfoodies_lng,mfoodies_distance,mfoodies_similarity,halal,note_1,note_2
0,Peri Peri Grill House,KPGZ6zr6lUX9YROjGcUbtw,https://www.yelp.com/biz/peri-peri-grill-house-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,146,"{""235 Malcolm X Blvd"",""Brooklyn, NY 11233""}",5178,https://s3-media3.fl.yelpcdn.com/bphoto/Pua9bmtsAqljOJ_sPDV9Mw/o.jpg,40.68474,-73.92916,Taj Masala,40.684379,-73.929667,0.058642315,0.129032258,Krave Shack,40.721219,-73.9841088,6.157025419,0.125,TRUE,And of course the best part of it all it's��_HALAL,
2,Gyro Mania,ctVgx_mIwt2Fwc48Pgjhlw,https://www.yelp.com/biz/gyro-mania-bath-beach?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,41,"{""2151 Bath Ave"",""Bath Beach, NY 11214""}",5180,https://s3-media4.fl.yelpcdn.com/bphoto/vlTRc6HYavvq7nls-KbCPA/o.jpg,40.59894435,-73.99793884,Gyro Mania,40.5990025,-73.9979668,0.00688369,1,Kabul Kabob House,40.703428,-74.011081,11.67083319,0.148148148,TRUE,,
3,Middle Eastern Halal Food,WekK6vHrQZ-81CijH2sGiw,https://www.yelp.com/biz/middle-eastern-halal-food-brooklyn-5?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,146,"{""8601 5th Ave"",""Brooklyn, NY 11209""}",5182,https://s3-media1.fl.yelpcdn.com/bphoto/Wi3R2J8b1zrmiPx_O9ldvA/o.jpg,40.62125807,-74.02619407,Your House Caf��Ε�_,40.6343104,-74.0239418,1.463745703,0.146341463,Kabul Kabob House,40.703428,-74.011081,9.225376485,0.285714286,TRUE,In name,
20,Joloff Restaurant,FdB6KDTEmX8HvomPwySAHg,https://www.yelp.com/biz/joloff-restaurant-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,185,"{""1168 Bedford Ave"",""Brooklyn, NY 11216""}",5198,https://s3-media3.fl.yelpcdn.com/bphoto/fW320I3CPOmLh85RQ6-MRw/o.jpg,40.6841,-73.95422,Joloff,40.684151,-73.954076,0.013401088,0.52173913,Krave Shack,40.721219,-73.9841088,4.835691142,0.142857143,TRUE,,
22,First Oasis,KjqBMZ0bE9VV2VP3DrDZvg,https://www.yelp.com/biz/first-oasis-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,169,"{""9218 4th Ave"",""Brooklyn, NY 11209""}",5200,https://s3-media1.fl.yelpcdn.com/bphoto/ETfkHVBmcE2s3oyEGra_pQ/o.jpg,40.61803,-74.03065,First Oasis,40.6179576,-74.0305715,0.010426492,1,Kabul Kabob House,40.703428,-74.011081,9.638222438,0.071428571,TRUE,,
30,Abir Halal Restaurant,R2VSWR_2bNhfchNqdgQR2g,https://www.yelp.com/biz/abir-halal-restaurant-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,13,"{""526 Nostrand Ave"",""Brooklyn, NY 11216""}",5215,https://s3-media3.fl.yelpcdn.com/bphoto/fgwS2kXzCRPFgvH5meGfIw/o.jpg,40.6808,-73.94981,Abir Halal,40.6808053,-73.9498549,0.003832522,0.64516129,Krave Shack,40.721219,-73.9841088,5.344112012,0.125,TRUE,In name,
36,Halal Paradise,M45jHhTaU6ePHDEibXk9nQ,https://www.yelp.com/biz/halal-paradise-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,37,"{""4TH Ave And Pacific St"",""Brooklyn, NY 11231""}",5232,https://s3-media4.fl.yelpcdn.com/bphoto/d2-o2xZxK1_7H2zp7aMQ4A/o.jpg,40.6837459,-73.97873257,Halal Paradise Truck,40.6839862,-73.9785823,0.029572513,0.823529412,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,3.408528045,0.195121951,TRUE,In name,
37,Dar 525,oqVG2LsTwvRzgJxId5pqiw,https://www.yelp.com/biz/dar-525-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,482,"{""525 Grand St"",""Brooklyn, NY 11211""}",5234,https://s3-media2.fl.yelpcdn.com/bphoto/3LM1XPzAEImHxjA--aK-wg/o.jpg,40.711266,-73.950317,Dar 525,40.7112458,-73.9503412,0.003034044,1,Krave Shack,40.721219,-73.9841088,3.055455961,0.222222222,TRUE,,
48,Kazi Halal,AqKHTQgO1ls2_nd2cBVzng,https://www.yelp.com/biz/kazi-halal-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,5,"{""47-65 Court St"",""New York, NY 11201""}",5259,https://s3-media3.fl.yelpcdn.com/bphoto/W7mMlFtZp7y6wKy0eqF42g/o.jpg,40.69164658,-73.99127197,Panorama,40.7329154,-73.9909486,4.588964806,0.333333333,PAPA KEBAB,40.73234998,-73.98493968,4.557371978,0.1,TRUE,In name,
49,Zyara NY,0AoaUlXkQOlalpA3v-Ivqw,https://www.yelp.com/biz/zyara-ny-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,168,"{""57 Clinton St"",""New York, NY 10002""}",5260,https://s3-media4.fl.yelpcdn.com/bphoto/_jwDYM4c26WWoYd7dwXM_A/o.jpg,40.71964,-73.98507,Mazeish Grill,40.719281,-73.986476,0.125035663,0.19047619,Krave Shack,40.721219,-73.9841088,0.1933624,0.315789474,TRUE,Also the food is��_halal.,
