name,address,tags
Merguez & Frites,"astoria, NY","['Halal', 'African']"
BBQ Nite,"Hicksville, NY","['Barbeque', 'Fish & Chips']"
Russell Dhaba,"Hicksville, NY",['Indian']
Kababjees,"Hicksville, NY","['Halal', 'Barbeque']"
Red Pipe Cafe,"Forest Hills, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Pi Bakerie,"New York, NY","['Bakeries', 'Greek']"
Punjabi Kabab and Gyro,"South Richmond Hill, NY","['Indian', 'Pakistani']"
AwesomeSauce,"Astoria, NY","['Burgers', 'Chicken Wings']"
Woops! BakeShop,"New York, NY",['Macarons']
Blend: Coffee + CoWork,"Brooklyn, NY",['Coffee & Tea']
Curry on Pizza,"Bellerose, NY","['Pizza', 'Chicken Wings']"
Kinship Coffee,"Astoria, NY",['Coffee & Tea']
Maria’s Mediterranean,"Bayside, NY","['Seafood', 'Greek']"
Rajbhog Foods,"Jackson Heights, NY","['Desserts', 'Bakeries']"
Aladin Lamb BBQ,"Flushing, NY","['Moroccan', 'Barbeque']"
Cafe Kashkar,"Brooklyn, NY","['Halal', 'Uzbek']"
Shawarma Al-Sham,"Brooklyn, NY",['Middle Eastern']
Kofte Piyaz,"Brooklyn, NY",['Turkish']
Black Label Donuts,"Astoria, NY","['Donuts', 'Pop-Up Restaurants']"
Samudra Vegetarian Restaurant & Chaat House,"Jackson Heights, NY","['Indian', 'Vegetarian']"
Clinton Street Baking Company,"New York, NY","['Bakeries', 'Breakfast & Brunch']"
Divya’s Kitchen,"New York, NY","['Vegan', 'Vegetarian']"
Caffè Ammi Roasting,"Pelham, NY","['Coffee Roasteries', 'Coffee & Tea']"
Adda Indian Canteen,"Long Island City, NY","['Indian', 'Halal']"
Gaw Gai,"Long Island City, NY",['Thai']
Bean Square,"Bayside, NY","['Coffee & Tea', 'Bakeries']"
White Noise Coffee Co,"Flushing, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Café 1 of a Kind,"Little Neck, NY","['Desserts', 'Coffee & Tea']"
Beard Papa’s,"Flushing, NY","['Desserts', 'Bakeries']"
Ateaz,"Kew Gardens, NY","['Coffee & Tea', 'Desserts']"
OBA Mediterranean Gyro & Grill,"Forest Hills, NY",['Mediterranean']
La Boulangerie,"Forest Hills, NY","['Bakeries', 'Creperies']"
Avli The Little Greek Kafe,"Bayside, NY","['Cocktail Bars', 'Breakfast & Brunch']"
Mahjong Cafe,"Bayside, NY","['Desserts', 'Cafes']"
Pamir Kabab House & Grill,"Kew Gardens, NY","['Afghan', 'Middle Eastern']"
Halalbee’s,"Jamaica, NY","['Burgers', 'Halal']"
Marmar,"Staten Island, NY","['Mediterranean', 'Syrian']"
Ground Central,"New York, NY","['Coffee & Tea', 'Salad']"
Momo Crave,"Woodside, NY",['Himalayan/Nepalese']
Agora Turkish Restaurant,"New York, NY","['Turkish', 'Mediterranean']"
Farida Central Asian Cuisine & Grill,"New York, NY","['Uzbek', 'Russian']"
Djerdan Burek Astoria,"Astoria, NY","['Fast Food', 'Turkish']"
Nur Thai,"Rego Park, NY",['Thai']
Taci’s,"Forest Hills, NY","['Turkish', 'Halal']"
