,name,address,borough,source,validated_address
0,United Fried Chicken & Pizza,"567 Lenox Avenue, New York, NY",Manhattan,Zabiha,"567 Malcolm X Blvd, New York, NY 10037, USA"
1,Junoon,"27 West 24th Street, New York, NY",Manhattan,Zabiha,"27 W 24th St, New York, NY 10010, USA"
2,Ambizza Café Truck,"Water Street & Old Slip, New York, NY",Manhattan,Zabiha,"10 S Water St, Sapulpa, OK 74066, USA"
3,Falafel on Broadway,"3151 Broadway, New York, NY",Manhattan,Zabiha,"3151 Broadway, New York, NY 10027, USA"
4,Malai Marke,"318 East 6th Street, Newrk, NY",Manhattan,Zabiha,"318 E 6th St, New York, NY 10003, USA"
5,Moustache Pitza,"265 East 10th Street, New York, NY",Manhattan,Zabiha,"265 E 10th St, New York, NY 10009, USA"
6,Bawarchi,"1546 Madison Avenue, New York, NY",Manhattan,Zabiha,"1546 Madison Ave, New York, NY 10029, USA"
7,Kopi Kopi,"68 West 3rd Street, New York, NY",Manhattan,Zabiha,"68 W 3rd St, New York, NY 10012, USA"
8,The Halal Guys,"307 East 14th Street, New York, NY",Manhattan,Zabiha,"307 E 14th St, New York, NY 10003, USA"
9,Simit Sarayi,"435 5th Avenue, New York, NY",Manhattan,Zabiha,"435 5th Ave, New York, NY 10016, USA"
10,Awadh,"2588 Broadway, New York, NY",Manhattan,Zabiha,"2588 Broadway, New York, NY 10025, USA"
11,Tallgrass Burger,"214 1st Avenue, New York, NY",Manhattan,Zabiha,"214 1st Avenue, New York, NY 10009, USA"
12,Ravagh Persian Grill,"125 1st Avenue, New York, NY",Manhattan,Zabiha,"125 1st Avenue, New York, NY 10003, USA"
13,Atomic Wings,"184 1st Avenue, New York, NY",Manhattan,Zabiha,"184 1st Avenue, New York, NY 10009, USA"
14,Deccan Spice,"120 Lexington Avenue, New York, NY",Manhattan,Zabiha,"120 Lexington Ave, New York, NY 10016, USA"
15,Dera,"103 Lexington Avenue, New York, NY",Manhattan,Zabiha,"103 Lexington Ave, New York, NY 10016, USA"
