name,coordinates,category,url
ADDY’S BARBEQUE,"-73.9170111,40.7617052",MFoodies,
Farida Central Asian Cuisine & Grill,"-73.9944464,40.7556662",MFoodies,
YANA - Uyghur Kebab Express,"-73.983442,40.76551",MFoodies,
Fitoor Cafe & Grill Lounge,"-73.7882865,40.7265806",MFoodies,
Firdos Grill,"-73.9119015,40.767307",MFoodies,
Lasiaf,"-73.9257919,40.6122955",MFoodies,
Carifesta,"-73.8179396,40.6887898",MFoodies,
Carifesta,"-73.8568142,40.8947879",MFoodies,
Terry And Yaki Cart,"-73.9402437,40.7510021",MFoodies,
LULU CHINESE,"-73.8594341,40.6802861",MFoodies,
Nur Thai,"-73.8689519,40.72345",MFoodies,
Farine Baking Company,"-73.8910453,40.7489115",MFoodies,
Momo's Mediterranean Grill,"-73.8637847,40.6793731",MFoodies,
Nepali Bhanchha Ghar,"-73.891111,40.7471963",MFoodies,
Thai Nara,"-73.89848,40.750112",MFoodies,
Zeytin Mediterranean,"-74.0070196,40.7085584",MFoodies,
Hujra restaurant,"-73.7186799,40.7257665",MFoodies,
The Falafel Guys,"-73.9871265,40.7196317",MFoodies,
Afandi Grill,"-73.9850001,40.7284558",MFoodies,
Big Arc Chicken,"-73.9829734,40.7311919",MFoodies,
Aroma Indian Cuisine,"-73.8686657,40.7233575",MFoodies,
Indi Thai,"-73.9904151,40.7198501",MFoodies,
Desi Galli,"-73.9797204,40.7273649",MFoodies,
Desi Galli,"-73.9826276,40.7421254",MFoodies,
AwesomeSauce,"-73.9106466,40.7686913",MFoodies,
Mahmoud's Corner Halal Food Cart,"-73.9210012,40.7568858",MFoodies,
Halal Munchies,"-73.912149,40.766934",MFoodies,
Momo Crave,"-73.8963091,40.7468533",MFoodies,
Lhasa Fast Food,"-73.8919285,40.7475666",MFoodies,
Namaste Tashi Delek,"-73.891711,40.747142",MFoodies,
Oba,"-73.8456826,40.7206215",MFoodies,
Tallgrass Burger,"-73.9829575,40.7304761",MFoodies,
Sam's Steak & Grill,"-73.6986582,40.6639563",MFoodies,
Memo Shish Kebab - Manhattan,"-73.9932328,40.7428845",MFoodies,
Halalbee's,"-73.7795649,40.7134136",MFoodies,
Hot Peppers,"-73.7469081,40.73646",MFoodies,
Aba,"-73.983925,40.767473",MFoodies,
Kabab King,"-73.892277,40.747266",MFoodies,
Kotti Berliner Döner Kebab,"-73.9832514,40.6907958",MFoodies,
Ali's Trinidad Roti Shop,"-73.950721,40.6805494",MFoodies,
Darbar's Chicken & Ribs,"-73.818136,40.688706",MFoodies,
Ruzana,"-74.0260156,40.6221721",MFoodies,
Alpha Restaurant & Lounge,"-73.910679,40.7687013",MFoodies,
Sugar N Coal,"-73.8686623,40.7233534",MFoodies,
Tangra Masala,"-73.9825208,40.7421568",MFoodies,
Rasa,"-73.9976527,40.7329711",MFoodies,
Cocoa Grinder,"-73.9524458,40.680764",MFoodies,
Brooklyn Halal Grill,"-73.866771,40.6785742",MFoodies,
Atomic Wings Queens ,"-73.8020077,40.7081658",MFoodies,
Bakewell,"-73.8174825,40.6885952",MFoodies,
Lasani,"-73.98793,40.7459",MFoodies,
Sagar Chinese,"-73.8911988,40.7491701",MFoodies,
Sagar Chinese,"-73.792805,40.711132",MFoodies,
BK JANI,"-73.9243349,40.702093",MFoodies,
BK Jani,"-73.9830833,40.6909202",MFoodies,
M&M Bakery & Halal Restaurant,"-73.8236303,40.6866774",MFoodies,
Majnoon Cafe,"-73.8165538,40.6889642",MFoodies,
Twisted Mexican Grill,"-73.9265453,40.7723846",MFoodies,
Milk And Honey Cafe,"-73.9661268,40.6343373",MFoodies,
Peri Peri Grill House,"-73.9291163,40.6847466",MFoodies,
Halal boyz,"-73.7902244,40.7393953",MFoodies,
Fatima's Halal Kitchen,"-73.9274763,40.7632005",MFoodies,
BURGERS by Honest Chops,"-74.000991,40.7296006",MFoodies,
Merit Kabab,"-73.8913084,40.7471204",MFoodies,
Haat Bazaar Restaurent,"-73.8925367,40.7484731",MFoodies,
Zatar Cafe & Bistro,"-73.9245856,40.698",MFoodies,
The Soul Spot,"-73.988812,40.68835",MFoodies,
Munch,"-73.8463037,40.7208749",MFoodies,
Pad Thai Cuisine,"-73.9564294,40.8034705",MFoodies,
Queen Sheeba,"-73.9447058,40.820822",MFoodies,
Falafel Tarboosh,"-73.9478595,40.8245968",MFoodies,
Al Masry,"-73.9539582,40.6805545",MFoodies,
Affy's Premium Grill,"-73.9623149,40.6108733",MFoodies,
Pepo’s Pizza,"-73.9522861,40.8191441",MFoodies,
Les Ambassades,"-73.9538151,40.8060966",MFoodies,
My House Burgers and Shakes,"-73.9525921,40.5865846",MFoodies,
Yemen Cafe,"-73.9936946,40.6898526",MFoodies,
Mirch,"-73.7893495,40.7121978",MFoodies,
The Halal Spot,"-73.9663152,40.6932336",MFoodies,
Bahar Masala,"-73.9673574,40.6334137",MFoodies,
Duzan,"-73.9108713,40.7686494",MFoodies,
Rocca Cafe & Lounge,"-73.9408434,40.5834418",MFoodies,
One Thai Chef,"-73.9905226,40.7594312",MFoodies,
Kabul Kabob House,"-73.8274397,40.7539537",MFoodies,
Asian Taste 86 Halal Food,"-73.8786293,40.741773",MFoodies,
Miraj Healthy Grill,"-73.6460781,40.7555796",MFoodies,
PAPA KEBAB,"-74.0035606,40.7428034",MFoodies,
Chick In,"-73.736233,40.733316",MFoodies,
Sami's Kabab House,"-73.932968,40.758408",MFoodies,
No pork halal kitchen,"-73.9793473,40.683321",MFoodies,
Halal Kitchen,"-73.8916495,40.7278143",MFoodies,
Halal Kitchen,"-73.9408319,40.7931335",MFoodies,
Top Thai,"-74.028404,40.623274",MFoodies,
Simit Sarayi,"-73.9821388,40.7512295",MFoodies,
Omar's,"-73.98122,40.750971",MFoodies,
Omar Mediterranean Cuisine,"-73.9811896,40.7510451",MFoodies,
SkyIce Thai Food & Ice Cream,"-73.9773899,40.6807147",MFoodies,
Taheni,"-73.9833839,40.6773986",MFoodies,
Modoo Chicken and Noodle Bar,"-73.765198,40.7611444",MFoodies,
Kabul Kabob House,"-73.8274397,40.7539537",MFoodies,
Uncle's Nick's Mediterranean Gyro Grill,"-73.8694701,40.7242298",MFoodies,
Omar's Burgers and Platters (Halal),"-73.8074223,40.7149558",MFoodies,
Nurlan,"-73.8259798,40.7516975",MFoodies,
Krave Shack,"-73.7125098,40.73633",MFoodies,
Xinjiang House,"-73.8825407,40.7416488",MFoodies,
Halal Xpress Chinese Kitchen,"-73.9776688,40.6436947",MFoodies,
Blue Nile,"-73.9601795,40.6582206",MFoodies,
Black Nile,"-73.9499541,40.6782364",MFoodies,
So Kong Dong,"-74.0090591,40.8231",MFoodies,
Fresco Fusion,"-73.9967565,40.9243184",MFoodies,
Kebab House (Halal),"-73.509769,40.7552361",MFoodies,
Tribos Peri Peri,"-74.0437446,40.719481",MFoodies,
Zyara Restaurant,"-73.9124716,40.7664952",MFoodies,
The Gully,"-73.912333,40.766705",MFoodies,
Halal China Kitchen Plus,"-73.8032099,40.7080187",MFoodies,
Tarim Uyghur Cuisine,"-73.8296815,40.7590988",MFoodies,
Bali Kitchen,"-73.987616,40.7253581",MFoodies,
Lahori Chilli,"-73.9670843,40.6324856",MFoodies,
Holy Cow,"-73.9906935,40.7143638",MFoodies,
Chicky’s,"-73.7166846,40.7265821",MFoodies,
Emir Palace,"-73.9755764,40.6316671",MFoodies,
Sammy's Steak and Smokehouse,"-73.676177,40.707688",MFoodies,
