name,platform_id,url,total_review_count,address,id,image_url,lat,lng,score
Pasha's,7-YixUudnaNfd1FuprZZyA,https://www.yelp.com/biz/pashas-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,7.0,"40 Wall St,New York, NY 10005",6266,https://s3-media3.fl.yelpcdn.com/bphoto/iqBBDljLY4EPJUHlBHIyKA/o.jpg,40.7068,-74.01,1
Joe's Shanghai,0CjK3esfpFcxIopebzjFxA,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,6167.0,"46 Bowery St,New York, NY 10013",6268,https://s3-media3.fl.yelpcdn.com/bphoto/ekUo5egd4dlE7zJyb4-Leg/o.jpg,40.7157,-73.9967,1
XO Kitchen,53y6b_-YaptXhlm2-STzeA,https://www.yelp.com/biz/xo-kitchen-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,515.0,"148 Hester St,New York, NY 10013",6276,https://s3-media3.fl.yelpcdn.com/bphoto/MrI07bYSasdCjWzhjzVcUg/o.jpg,40.7174,-73.996,3
Eleven Madison Park,nRO136GRieGtxz18uD61DA,https://www.yelp.com/biz/eleven-madison-park-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,2183.0,"11 Madison Ave,New York, NY 10010",6280,https://s3-media4.fl.yelpcdn.com/bphoto/2hfw1KehM6JG6WqCAyj32A/o.jpg,40.7417,-73.9872,4
The Kati Roll Company,BPyt7S9TdcR1u571iacg7g,https://www.yelp.com/biz/the-kati-roll-company-new-york-5?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,1531.0,"49 W 39th St,New York, NY 10018",6712,https://s3-media2.fl.yelpcdn.com/bphoto/myOO9urRL9fAhNhzStmCug/o.jpg,40.7527,-73.9847,2
Jackson Diner,IpiGGEXxz-5QVJpijXVmmA,https://www.yelp.com/biz/jackson-diner-jackson-heights?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,620.0,"3747 74th St,Jackson Heights, NY 11372",6839,https://s3-media1.fl.yelpcdn.com/bphoto/eU3_8gMcU6pbbGrURHEAyw/o.jpg,40.7478,-73.8915,5
Meghna Grocery & Halal Meat,PnNI9eyFUoLyhIF6pXHAOg,https://www.yelp.com/biz/meghna-grocery-and-halal-meat-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,4.0,"74-18 37th Ave,New York, NY 11372",6846,https://s3-media4.fl.yelpcdn.com/bphoto/DIhYgB3bs0ZfEQBHHx6wdA/o.jpg,40.749,-73.8912,2
Turkiyem Market,2UebUoFy47hXkPdBGaGbgg,https://www.yelp.com/biz/turkiyem-market-sunnyside?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,15.0,"46-31 Skillman Ave,Sunnyside, NY 11104",6851,https://s3-media4.fl.yelpcdn.com/bphoto/Q3o3apMqxO_0Nq0nvLosiA/o.jpg,40.7466,-73.9176,2
Key Food Fresh N Save,OI5OE3qeRQyyIpb8Ua-SuQ,https://www.yelp.com/biz/key-food-fresh-n-save-sunnyside?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,89.0,"46-02 Queens Blvd,Sunnyside, NY 11104",6959,https://s3-media2.fl.yelpcdn.com/bphoto/ilLJxbon27IH8bXX5aHU2g/o.jpg,40.7426,-73.9186,5
Seattle Cafe,NbWjdLwP3edhYyEjmnjgMw,https://www.yelp.com/biz/seattle-cafe-long-island-city?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,42.0,"3202 Queens Blvd,Long Island City, NY 11101",6962,https://s3-media2.fl.yelpcdn.com/bphoto/fMUR8EGP5CRzlej0vvMGhg/o.jpg,40.7441,-73.9332,4
Food Dynasty,5jUSGlE0pCGaa47hf_kJtA,https://www.yelp.com/biz/food-dynasty-jackson-heights?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,30.0,"7507 37th Ave,Jackson Heights, NY 11377",6978,https://s3-media1.fl.yelpcdn.com/bphoto/NX3GjBLyUlEFghB-YQ43VA/o.jpg,40.7491,-73.8904,4
Lasani Restaurant,RRg3P3NsYzutXn5M6mluxw,https://www.yelp.com/biz/lasani-restaurant-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,46.0,"15 W 29th St,New York, NY 10001",7175,https://s3-media3.fl.yelpcdn.com/bphoto/4yDWy9Hb5C1bOZ_Qr2E4wg/o.jpg,40.7459,-73.9879,3
Kabul Kabob,p90wZb-852r0CUlDcpLyzA,https://www.yelp.com/biz/kabul-kabob-bridgeview?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,58.0,"7265 W 87th St,Bridgeview, IL 60455",7427,https://s3-media4.fl.yelpcdn.com/bphoto/8ZvbRKm592a6mEyd81rO2g/o.jpg,41.7328,-87.8014,2
Spicy Thai Lao,359aBfrDilLaF_gbSdy-wg,https://www.yelp.com/biz/spicy-thai-lao-burbank?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,269.0,"5357 State Rd,Burbank, IL 60459",7428,https://s3-media1.fl.yelpcdn.com/bphoto/t8y5aIw0GrnjlQHiBk6qTg/o.jpg,41.7498,-87.7552,1
Shibam Restaurant - South,M4WYHDJehdju4BOOYkAZUw,https://www.yelp.com/biz/shibam-restaurant-south-bridgeview-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,29.0,"9052 S Harlem Ave,Bridgeview, IL 60455",7429,https://s3-media1.fl.yelpcdn.com/bphoto/dO0zFi7IE6hwootF0ZZyZg/o.jpg,41.7273,-87.7989,1
Al Bawadi Grill,DYZG-bTAOwNZzxhxkhfPeg,https://www.yelp.com/biz/al-bawadi-grill-bridgeview-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,779.0,"7216 W 87th St,Bridgeview, IL 60455",7430,https://s3-media1.fl.yelpcdn.com/bphoto/W67Wwb5NIDic94MUTmCUAw/o.jpg,41.7338,-87.8012,2
